,datetime,Tweet id,Username,Text
0,2022-06-30 00:15:09+00:00,1542300672154308609,MUSL1MWAVE,"Pembelian Minyak Goreng lewat aplikasi peduli lindungi tentu berpotensi diskriminatif.
Bgm islam memandang masalah ini? 
Simak di serba serbi MMC 
https://t.co/sarvY52ken

#MGCR
#Minyak
#Mahal
#pedulilindungi"
1,2022-04-20 12:07:50+00:00,1516750486598463492,MasAdjiee,"Perang Rusia Ukraina Bikin Minyak Goreng Mahal, Kok Bisa?

Baca artikel detikfinance, selengkapnya https://t.co/x36dFIypOZ.

#MinyakGoreng #minyak #goreng #perang #Ukrania #Rusia"
2,2022-04-09 02:14:39+00:00,1512614938506072066,SaifulA84380257,"Bertahan karena dipaksa oleh keadaan
#minyak goreng mahal
#kebutuhan_bahan pokok ikut mahal... https://t.co/KRWKntc8l9"
3,2022-03-31 09:40:24+00:00,1509465624933593088,Presidenglobal,Minyak goreng mahal kok yg di salahi presidennya toh bu? Emng dengan ganti presiden smua bakal kembali murah?😂 #minyak https://t.co/nwGH9KulBb
4,2022-03-30 17:36:51+00:00,1509223141230276608,massmu_lhoini,"Masalah : 
1. Minyak mahal
2. Pertamax mahal
3. Bahan pokok mahal
Solusi : 
1. Goreng pake aerrr aja
2. Jalan kaki aja
3. Makan pisang aja

Gausah mikir udah di kasih solusinya
#pertamax #minyak #pisang"
5,2022-03-24 04:33:51+00:00,1506851764095840256,lensaRTV,"Beberapa oknum tidak bertanggung jawab memanfaatkan momen mahal atau kelangkaan minyak goreng dengan cara menjual produk palsu di pasaran. Lalu, gimana ya cara membedakan minyak goreng asli atau palsu? 

#minyak #minyakgoreng #minyakcurah #hargaminyak #minyakpalsu #bpom https://t.co/qiWgf9KiJK"
6,2022-03-23 12:57:28+00:00,1506616117384871947,rmoljateng,"Industri #Rumahan Mengeluh Harga #Minyak Goreng Mahal #KlikRMOL 
https://t.co/G1fINmbrOH"
7,2022-03-22 08:39:51+00:00,1506188898552397827,pikiran_rakyat,"Viral! Wanita Ini Mengeluh Minyak Goreng yang Baru Dibeli Ternyata Ada Reptil di Dalamnya

https://t.co/d2YF1g9J9n 

#wanita #keluhan #minyak #goreng #mahal #kemasan #curah #cicak #video #viral #indonesia #nasional #prmn #pikiranrakyat #prmnsahabatumkm #pikiranrakyatmedianetwork"
8,2022-03-22 02:33:29+00:00,1506096699953250304,pikiran_rakyat,"Minyak Goreng Sedang Mahal, Seorang Pria Justru Bagikan Gratis di Acara Pengajian, Aksinya Langsung Jadi Viral
#MinyakGoreng #Minyak #MinyakGratis

Selengkapnya: https://t.co/sr0GU3RTNn via @YouTube"
9,2022-03-20 08:00:01+00:00,1505454099055067136,sariagri_id,"Harga minyak goreng masih mahal membuat ibu-ibu berpikir untuk menggantinya dengan air fryer. Amankah?
#sariagri #pangan #minyak #minyakgoreng #airfryer #kesehatan 

https://t.co/p2q3DbeXu4"
10,2022-03-20 07:55:41+00:00,1505453006317584389,pikiran_rakyat,"Viral! Warganet Bandingkan Harga Minyak Goreng di Amerika dan Indonesia, Lebih Murah Mana?

https://t.co/h16d74r2c5 

#bandingkan #harga #minyak #goreng #minyakgoreng #as #amerika #serikat #murah #mahal #umr #gaji #liter #video #viral #indonesia #nasional #prmn #pikiranrakyat"
11,2022-03-19 22:17:32+00:00,1505307509036564484,nurulhudamanado,"#minyak goreng mahal#
#hrga sembako mulai naik#
#solar langka#
#pertalite mulai langka#
yg lain antre  siap2 naik..."
