data_cid,title,category,description
9974788537462044218,AHOD - Construction & Handyman Services,Perusahaan konstruksi di Texas,
14058365436322664203,TCP Custom Outdoor Living,Tukang bangunan panggung di Texas,"""TCP Custom Outdoor Living specializes in custom patios, patio covers, outdoor kitchens, fireplaces, screened porches, room additions and other outdoor structures in the Dallas, Ft. Worth area. Our service area includes Hurst, Irving, Euless, Bedford, Lewisville, Flower Mound, McKinney, Frisco, Plano, Richardson, Grand Prairie, Arlington and Mansfield. We've designed and built patios in the neighborhoods of Timarron, Woodland Hills, Hackberry Creek, The Tribute, Bent Tree, and the Arbors."""
2389600888068711986,CGreens Landscape / Irrigation / Drainage,"Penata taman di Dallas, Texas","""Designing, building & maintaining your outdoor dreams since 1980. CGreens Landscape Management has created beautiful outdoor living spaces properties and several of the most elegant estates in the Dallas/Ft. Worth metroplex, but we never forget our humble beginnings. Our passion is to deliver world class service as we build, design, & maintain lush landscapes and fine gardens. We are committed to serving our clients attention to detail as we create outdoor living spaces that shows the owner’s vision for their property using proper horticultural practices."""
7914123157099291552,Guerrero Landscaping,"Penata taman di Dallas, Texas",
16318032597138956764,Scapes Incorporated,"Penata taman di Dallas, Texas","""We design, build and maintain award-winning landscapes, pools, outdoor kitchens, ponds, entertainment areas, water/fire features, synthetic grass and more- in every possible style, finish and material. We have extensive connections within the industry to be a true one-stop shop for all of your outdoor design and building needs.Let our team of Landscape architects and designers make your exterior dreams a reality. We look forward to serving you."""
12540005740209760239,Avatars Landscaping,"Penata taman di Dallas, Texas","""Avatars Landscaping was founded in Dallas in 2000 and has since grown into a firm of 10 talented designers and professionals who believe in creating inspirational projects. Through our designs, we strive to find the perfect balance between comfort, practicality and beauty. Our goal is not only to create stunning structures, but to improve lives. Our work is mostly based in the Dallas area, but we are willing to travel for an awesome project. Contact us to learn what we’re able to accomplish."""
4607182187142903490,Southern Botanical,"Penata taman di Dallas, Texas","""Southern Botanical is known as The Green Standard in the landscape industry, serving as the #1 preferred landscape provider in the DFW area for prominent commercial and high-end residential estates.

Offering comprehensive landscape services including lawn, garden, and irrigation management, certified tree care, and design-build services allows our team to deliver exceptional quality and value to each of our clients.

Our award-winning projects have been widely recognized for exceptional beauty, innovation, and a commitment to sustainability. As a locally owned company, we are proud to service some of the most iconic properties in the metroplex."""
15783104715867381671,Lambert Landscape Company,"Penata taman di Dallas, Texas",
6201717773197539542,Marlin Landscape,"Penata taman di Dallas, Texas","""Founded in 2002, Marlin Landscape is a full-service and high-end landscaping company in Dallas. We design and carry out landscape projects and provide ongoing residential services throughout the city of Dallas, with a strong reputation among residents of Highland Park, University Park, Preston Hollow, and the surrounding neighborhoods. We hire only the best landscapers, designers, technicians, and support staff. Our company is filled with artistic minds and expert landscapers who have worked on properties of various sizes and layouts and are skilled in a broad range of services, which allows us to offer unique and creative landscape designs."""
17881181882171721547,Prestonwood Landscape Services,"Penata taman di Dallas, Texas","""Our approach to landscape management is simple; proactive, not reactive. We focus on saving our clients time by eliminating many of the common hassles and headaches that are associated with property management.

No matter the client, project or property size, Prestonwood Landscape Services builds beautiful and worry-free landscapes, with a customer experience to match. Since our founding in 1999, that has been and remains our driving goal.

Our team and resources are the best in the business. We conduct bi-weekly safety meetings with all field personnel, employ licensed chemical applicators and irrigation technicians and we use only new or late model equipment with the highest rating in the industry."""
